STT,Tên đầy đủ,Mã chứng khoán,Sàn niêm yết
96,CÔNG TY CỔ PHẦN VIETTRONICS TÂN BÌNH,VTB,HOSE
97,CTCP Đầu tư và Xây dựng Cấp thoát nước,VSI,HOSE
98,CTCP Kim khí TPHCM - VNSTEEL,HMC,HOSE
99,Công ty CP Pin Ắc quy Miền Nam,PAC,HOSE
100,CTCP Thuốc sát trùng Việt Nam,VPS,HOSE
101,Công Ty Cổ phần Công nghiệp Cao su Miền Nam,CSM,HOSE
102,Công ty Cổ phần Tư vấn Xây dựng Điện 2,TV2,HOSE
103,CTCP Phân bón Miền Nam,SFG,HOSE
104,CTCP Vật tư - Xăng dầu (Comeco),COM,HOSE
105,Tổng công ty CP Dịch vụ Tổng Hợp Dầu Khí,PET,HOSE
106,CTCP Dược phẩm TW VIDIPHA,VDP,HOSE
107,Công ty cổ phần Y Dược phẩm Vimedimex,VMD,HOSE
108,Công ty CP Đầu tư Cầu đường CII,LGC,HOSE
109,CTCP Đầu tư Phát triển Công nghiệp và Vận tải (TRACODI),TCD,HOSE
110,CTCP Vàng bạc đá quý Phú Nhuận,PNJ,HOSE
111,CTCP Thiết bị phụ tùng Sài Gòn,SMA,HOSE
112,CTCP Vận tải xăng dầu VITACO,VTO,HOSE
113,Tổng CTCP Bia - Rượu - nước giải khát Sài Gòn,SAB,HOSE
114,CÔNG TY CỔ PHẦN SỮA VIỆT NAM,VNM,HOSE
115,CTCP Ngoại Thương và Phát triển Đầu tư TP.HCM,FDC,HOSE
116,Ngân hàng TMCP Phát triển Tp. Hồ Chí Minh (HDBank),HDB,HOSE
117,CTCP Nhiên liệu Sài Gòn,SFC,HOSE
118,CTCP Kho vận miền Nam,STG,HOSE
119,CTCP Công nghệ Sài gòn Viễn Đông,SVT,HOSE
120,CTCP Cơ điện lạnh,REE,HOSE
121,CTCP GARMEX SÀI GÒN,GMC,HOSE
122,CTCP Siam Brothers Việt Nam,SBV,HOSE
123,Ngân hàng TMCP Phương Đông,OCB,HOSE
124,Ngân hàng TMCP Nam Á,NAB,HOSE
125,Ngân hàng TMCP Sài Gòn Thương Tín,STB,HOSE
126,CTCP Gemadept,GMD,HOSE
127,Công Ty Cổ Phần Cao su Bến Thành,BRC,HOSE
128,CTCP Dịch vụ tổng hợp Sài Gòn,SVC,HOSE
129,CTCP Thương mại - Dịch vụ Bến Thành,BTT,HOSE
130,Công ty cổ phần TM-XNK Thiên Nam,TNA,HOSE
131,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam,EIB,HOSE
132,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,GVR,HOSE
133,CÔNG TY CỔ PHẦN KỸ THUẬT VÀ Ô TÔ TRƯỜNG LONG,HTL,HOSE
134,Công ty CP Đầu tư Nam Long,NLG,HOSE
135,CTCP Bột giặt LIX,LIX,HOSE
136,CTCP Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE
137,Tổng công ty Việt Thắng - CTCP,TVT,HOSE
138,CTCP Dệt may đầu tư thương mại Thành Công,TCM,HOSE
139,Công ty cổ phần Hóa chất cơ bản miền Nam,CSV,HOSE
140,CTCP Xi măng VICEM Hà Tiên,HT1,HOSE
141,CTCP chế biến gỗ Đức Thành,GDT,HOSE
142,Ngân hàng TMCP Cổ phần Á Châu,ACB,HOSE
143,CTCP Nhựa Bình Minh,BMP,HOSE
144,CTCP Tập đoàn Thiên Long,TLG,HOSE
145,CTCP SXKD XNK DV và DT Tân Bình (Tanimex),TIX,HOSE
146,Công Ty Cổ Phần Đại Lý Vận Tải SAFI,SFI,HOSE
147,CTCP Tập đoàn PAN,PAN,HOSE
148,CTCP Công nghệ Tiên Phong,ITD,HOSE
